Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
42.0,1.0,1.0,13.0,3.0,2.0,3.0,4.0,0.0,5.0,3.0,4.0,1.0,4.0,1.0,2.0,1.0,23399.0
42.0,1.0,1.0,18.0,3.0,2.0,2.0,3.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,17766.0
39.0,1.0,1.0,9.0,2.0,2.0,3.0,4.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,25231.0
33.0,1.0,1.0,10.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,5.0,0.0,1.0,1.0,1.0,3.0,29837.0
44.0,0.0,1.0,29.0,3.0,2.0,3.0,3.0,1.0,4.0,1.0,5.0,0.0,3.0,0.0,1.0,2.0,17042.0
41.0,1.0,1.0,9.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,7.0,0.0,3.0,1.0,1.0,2.0,25055.0
31.0,1.0,1.0,25.0,2.0,1.0,4.0,4.0,0.0,3.0,3.0,3.0,0.0,1.0,1.0,3.0,1.0,21310.0
59.0,1.0,1.0,8.0,2.0,1.0,3.0,4.0,4.0,3.0,2.0,4.0,1.0,5.0,0.0,2.0,0.0,28726.0
44.0,1.0,1.0,13.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,0.0,5.0,1.0,1.0,2.0,19541.0
37.0,1.0,1.0,13.0,2.0,2.0,3.0,2.0,0.0,3.0,2.0,4.0,0.0,4.0,1.0,1.0,1.0,19680.0
36.0,0.0,3.0,18.0,3.0,2.0,3.0,4.0,1.0,3.0,1.0,3.0,0.0,5.0,0.0,1.0,2.0,23646.0
48.0,0.0,1.0,23.0,3.0,2.0,4.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,23745.0
37.0,1.0,1.0,14.0,2.0,2.0,4.0,4.0,0.0,3.0,3.0,4.0,0.0,3.0,0.0,3.0,1.0,23356.0
35.0,1.0,1.0,16.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,0.0,5.0,1.0,2.0,3.0,27178.0
31.0,1.0,2.0,7.0,2.0,2.0,3.0,4.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,20742.0
42.0,0.0,1.0,8.0,3.0,2.0,2.0,3.0,0.0,3.0,2.0,6.0,1.0,2.0,0.0,1.0,1.0,17515.0
26.0,0.0,1.0,6.0,2.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0,0.0,5.0,0.0,1.0,2.0,21397.0
54.0,0.0,2.0,32.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,32328.0
31.0,1.0,1.0,13.0,1.0,2.0,2.0,3.0,0.0,3.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,19821.0
35.0,1.0,3.0,35.0,3.0,1.0,4.0,5.0,1.0,3.0,1.0,3.0,0.0,5.0,1.0,1.0,2.0,25390.0
36.0,1.0,2.0,19.0,2.0,2.0,2.0,3.0,0.0,4.0,0.0,5.0,0.0,3.0,1.0,0.0,1.0,17143.0
40.0,0.0,1.0,6.0,2.0,2.0,3.0,4.0,4.0,4.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,28503.0
30.0,1.0,1.0,30.0,2.0,2.0,3.0,3.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,17693.0
36.0,0.0,3.0,21.0,3.0,2.0,2.0,5.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,20406.0
37.0,1.0,1.0,20.0,2.0,1.0,3.0,3.0,0.0,5.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,18034.0
28.0,1.0,1.0,27.0,3.0,2.0,2.0,3.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,17713.0
34.0,1.0,1.0,33.0,3.0,1.0,3.0,3.0,0.0,4.0,2.0,3.0,0.0,3.0,1.0,0.0,1.0,17311.0
20.0,1.0,3.0,15.0,2.0,2.0,2.0,3.0,0.0,5.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,17728.0
27.0,1.0,1.0,13.0,3.0,1.0,2.0,4.0,1.0,5.0,3.0,1.0,0.0,3.0,1.0,0.0,2.0,21811.0
46.0,1.0,3.0,8.0,3.0,1.0,3.0,3.0,4.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,32048.0
27.0,1.0,1.0,13.0,3.0,1.0,2.0,4.0,1.0,5.0,3.0,1.0,0.0,3.0,1.0,0.0,2.0,21811.0
44.0,1.0,3.0,23.0,3.0,1.0,4.0,4.0,4.0,3.0,1.0,7.0,1.0,3.0,0.0,1.0,0.0,34742.0
38.0,1.0,2.0,8.0,2.0,2.0,3.0,3.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,18600.0
38.0,1.0,1.0,10.0,2.0,1.0,3.0,4.0,1.0,4.0,3.0,5.0,0.0,4.0,1.0,1.0,2.0,22785.0
41.0,1.0,1.0,21.0,3.0,2.0,3.0,5.0,2.0,3.0,2.0,3.0,0.0,3.0,1.0,2.0,4.0,38304.0
31.0,1.0,3.0,14.0,3.0,2.0,3.0,4.0,0.0,4.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,21661.0
41.0,0.0,1.0,8.0,2.0,1.0,3.0,4.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,21811.0
36.0,1.0,1.0,15.0,3.0,2.0,2.0,4.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,0.0,2.0,23847.0
52.0,1.0,1.0,10.0,1.0,1.0,3.0,4.0,3.0,3.0,1.0,4.0,0.0,4.0,1.0,2.0,3.0,31794.0
47.0,1.0,1.0,9.0,1.0,2.0,3.0,4.0,1.0,3.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,26057.0
33.0,1.0,3.0,9.0,3.0,2.0,3.0,4.0,1.0,4.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,22756.0
38.0,0.0,3.0,16.0,3.0,2.0,4.0,4.0,3.0,4.0,1.0,3.0,0.0,2.0,1.0,1.0,3.0,27512.0
51.0,0.0,3.0,15.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,5.0,1.0,4.0,1.0,1.0,4.0,34847.0
34.0,1.0,3.0,14.0,2.0,1.0,3.0,3.0,1.0,5.0,1.0,6.0,0.0,1.0,1.0,2.0,2.0,21500.0
28.0,1.0,1.0,11.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,24820.0
54.0,1.0,3.0,13.0,3.0,2.0,3.0,4.0,1.0,3.0,0.0,4.0,1.0,5.0,0.0,1.0,2.0,20984.0
34.0,0.0,3.0,13.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,0.0,5.0,0.0,1.0,2.0,19568.0
34.0,1.0,3.0,9.0,3.0,1.0,3.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,0.0,0.0,2.0,23103.0
52.0,1.0,1.0,6.0,2.0,2.0,3.0,3.0,4.0,3.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,32099.0
26.0,0.0,1.0,13.0,3.0,2.0,2.0,3.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,19741.0
44.0,1.0,1.0,13.0,2.0,2.0,3.0,5.0,4.0,3.0,1.0,6.0,1.0,3.0,1.0,1.0,0.0,35305.0
38.0,1.0,2.0,9.0,2.0,2.0,2.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,22347.0
25.0,1.0,1.0,16.0,3.0,2.0,4.0,2.0,0.0,3.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,23079.0
44.0,1.0,1.0,10.0,3.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,20933.0
41.0,1.0,3.0,8.0,2.0,1.0,3.0,3.0,4.0,5.0,1.0,1.0,0.0,5.0,1.0,2.0,0.0,31595.0
53.0,1.0,1.0,13.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,0.0,1.0,1.0,1.0,4.0,33606.0
37.0,1.0,1.0,13.0,3.0,2.0,3.0,3.0,1.0,5.0,1.0,6.0,1.0,3.0,0.0,0.0,2.0,22347.0
41.0,1.0,1.0,13.0,2.0,1.0,4.0,4.0,4.0,3.0,2.0,2.0,0.0,5.0,1.0,1.0,0.0,31915.0
55.0,1.0,1.0,6.0,3.0,2.0,2.0,1.0,4.0,3.0,1.0,3.0,0.0,5.0,1.0,0.0,0.0,29732.0
34.0,1.0,1.0,6.0,2.0,1.0,2.0,4.0,0.0,4.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0,18294.0
57.0,1.0,3.0,35.0,3.0,2.0,2.0,4.0,4.0,3.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,29118.0
36.0,1.0,3.0,9.0,3.0,1.0,4.0,4.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,3.0,1.0,20692.0
47.0,1.0,1.0,7.0,3.0,2.0,4.0,4.0,3.0,5.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,28074.0
31.0,0.0,3.0,29.0,2.0,1.0,4.0,4.0,3.0,5.0,1.0,2.0,0.0,1.0,1.0,2.0,3.0,27090.0
36.0,1.0,1.0,7.0,3.0,2.0,3.0,5.0,0.0,3.0,0.0,8.0,0.0,2.0,1.0,2.0,1.0,20936.0
37.0,1.0,1.0,9.0,2.0,1.0,4.0,4.0,0.0,3.0,0.0,6.0,0.0,5.0,1.0,1.0,1.0,21221.0
29.0,1.0,3.0,16.0,2.0,2.0,4.0,4.0,1.0,3.0,3.0,3.0,0.0,3.0,1.0,1.0,2.0,23931.0
31.0,1.0,1.0,13.0,1.0,1.0,3.0,5.0,1.0,3.0,0.0,2.0,0.0,4.0,1.0,2.0,2.0,23305.0
33.0,1.0,1.0,7.0,2.0,2.0,4.0,4.0,1.0,4.0,0.0,3.0,0.0,3.0,0.0,1.0,2.0,24898.0
36.0,1.0,1.0,14.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,0.0,4.0,1.0,1.0,3.0,25096.0
43.0,1.0,1.0,20.0,2.0,2.0,3.0,3.0,4.0,5.0,0.0,7.0,0.0,5.0,1.0,0.0,0.0,32159.0
41.0,1.0,3.0,14.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,0.0,4.0,1.0,2.0,4.0,38511.0
49.0,1.0,1.0,7.0,2.0,1.0,3.0,5.0,4.0,5.0,1.0,2.0,0.0,4.0,0.0,1.0,0.0,34080.0
40.0,1.0,3.0,9.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0,26558.0
43.0,0.0,1.0,16.0,3.0,1.0,4.0,4.0,0.0,3.0,3.0,3.0,0.0,4.0,1.0,2.0,1.0,22351.0
46.0,1.0,3.0,9.0,2.0,2.0,4.0,4.0,1.0,4.0,0.0,2.0,0.0,5.0,1.0,1.0,2.0,23483.0
38.0,1.0,1.0,17.0,3.0,1.0,4.0,4.0,0.0,4.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,22614.0
35.0,1.0,1.0,15.0,3.0,0.0,4.0,4.0,1.0,3.0,3.0,5.0,0.0,4.0,1.0,2.0,2.0,24820.0
51.0,1.0,1.0,31.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,5.0,1.0,4.0,1.0,3.0,0.0,32651.0
38.0,1.0,1.0,18.0,3.0,1.0,4.0,4.0,0.0,3.0,3.0,6.0,0.0,3.0,0.0,2.0,1.0,22307.0
51.0,1.0,3.0,15.0,3.0,2.0,3.0,4.0,0.0,4.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,22553.0
29.0,1.0,1.0,13.0,3.0,1.0,3.0,4.0,0.0,3.0,1.0,7.0,0.0,5.0,1.0,0.0,1.0,17532.0
31.0,1.0,3.0,13.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,5.0,0.0,2.0,0.0,0.0,2.0,22547.0
30.0,0.0,1.0,17.0,2.0,1.0,4.0,4.0,0.0,4.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0,21969.0
32.0,1.0,1.0,10.0,2.0,1.0,3.0,4.0,1.0,3.0,1.0,2.0,0.0,4.0,1.0,1.0,2.0,21162.0
44.0,1.0,1.0,14.0,2.0,2.0,3.0,1.0,0.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,17818.0
37.0,0.0,3.0,25.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,5.0,0.0,0.0,3.0,22642.0
34.0,1.0,1.0,6.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0,2.0,20484.0
36.0,0.0,3.0,6.0,2.0,2.0,4.0,4.0,3.0,5.0,1.0,3.0,0.0,4.0,0.0,1.0,3.0,27747.0
35.0,1.0,1.0,15.0,2.0,1.0,3.0,4.0,1.0,5.0,1.0,5.0,0.0,5.0,1.0,1.0,2.0,23799.0
35.0,1.0,1.0,13.0,2.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,19788.0
32.0,1.0,1.0,18.0,3.0,2.0,4.0,4.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,25511.0
41.0,0.0,1.0,33.0,3.0,1.0,3.0,4.0,1.0,4.0,1.0,3.0,0.0,2.0,1.0,1.0,2.0,24283.0
31.0,1.0,1.0,9.0,3.0,2.0,3.0,5.0,0.0,3.0,3.0,2.0,0.0,4.0,0.0,1.0,1.0,21398.0
36.0,1.0,2.0,33.0,2.0,0.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,27515.0
32.0,1.0,1.0,9.0,3.0,1.0,3.0,3.0,1.0,5.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,21725.0
28.0,1.0,1.0,25.0,3.0,2.0,3.0,4.0,0.0,5.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,18196.0
32.0,0.0,3.0,8.0,2.0,1.0,3.0,3.0,0.0,5.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,17827.0
56.0,1.0,1.0,9.0,2.0,1.0,4.0,4.0,4.0,3.0,2.0,4.0,1.0,5.0,0.0,1.0,0.0,35337.0
30.0,0.0,3.0,9.0,2.0,2.0,4.0,4.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,2.0,2.0,23327.0
37.0,1.0,3.0,18.0,3.0,1.0,4.0,5.0,1.0,3.0,1.0,6.0,0.0,1.0,1.0,2.0,2.0,25330.0
49.0,1.0,1.0,22.0,2.0,1.0,4.0,4.0,0.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,21045.0
56.0,0.0,1.0,9.0,3.0,2.0,3.0,5.0,4.0,5.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,35434.0
27.0,0.0,1.0,13.0,2.0,2.0,4.0,2.0,0.0,3.0,1.0,2.0,0.0,4.0,1.0,2.0,1.0,21222.0
35.0,1.0,1.0,28.0,2.0,2.0,2.0,5.0,0.0,3.0,2.0,1.0,0.0,4.0,1.0,0.0,1.0,22347.0
38.0,0.0,1.0,12.0,3.0,1.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,20329.0
39.0,1.0,2.0,7.0,2.0,2.0,3.0,2.0,0.0,3.0,0.0,3.0,0.0,4.0,1.0,1.0,1.0,21522.0
31.0,1.0,1.0,13.0,3.0,2.0,2.0,5.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,22347.0
30.0,1.0,1.0,8.0,3.0,1.0,2.0,4.0,1.0,3.0,3.0,6.0,1.0,2.0,1.0,1.0,2.0,21877.0
31.0,0.0,1.0,7.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,0.0,5.0,1.0,2.0,3.0,27152.0
42.0,0.0,1.0,13.0,1.0,1.0,2.0,4.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,19523.0
47.0,1.0,1.0,15.0,2.0,1.0,4.0,5.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,23293.0
25.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,0.0,3.0,0.0,5.0,0.0,5.0,1.0,1.0,1.0,18229.0
45.0,1.0,3.0,12.0,3.0,2.0,3.0,4.0,2.0,4.0,0.0,0.0,0.0,5.0,1.0,2.0,4.0,36891.0
43.0,0.0,1.0,12.0,2.0,2.0,4.0,4.0,0.0,3.0,1.0,6.0,0.0,3.0,0.0,2.0,1.0,20771.0
47.0,1.0,1.0,20.0,2.0,2.0,3.0,4.0,1.0,4.0,3.0,8.0,0.0,4.0,1.0,1.0,2.0,24240.0
30.0,1.0,1.0,28.0,2.0,1.0,3.0,2.0,3.0,5.0,1.0,3.0,0.0,5.0,1.0,2.0,3.0,28658.0
23.0,1.0,1.0,26.0,3.0,2.0,4.0,4.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,21001.0
61.0,1.0,1.0,7.0,3.0,2.0,4.0,6.0,3.0,3.0,1.0,5.0,0.0,5.0,0.0,1.0,3.0,29561.0
50.0,0.0,2.0,9.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,0.0,1.0,1.0,2.0,4.0,33200.0
34.0,1.0,3.0,16.0,2.0,1.0,2.0,3.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,17220.0
48.0,1.0,3.0,9.0,3.0,1.0,3.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,23215.0
50.0,1.0,1.0,15.0,2.0,1.0,3.0,4.0,3.0,4.0,1.0,6.0,0.0,4.0,0.0,2.0,3.0,26081.0
31.0,1.0,1.0,9.0,3.0,0.0,3.0,5.0,1.0,3.0,3.0,7.0,1.0,2.0,1.0,2.0,2.0,25555.0
42.0,0.0,1.0,14.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,0.0,5.0,1.0,1.0,4.0,33430.0
28.0,1.0,1.0,22.0,3.0,2.0,3.0,1.0,1.0,5.0,2.0,1.0,0.0,5.0,0.0,1.0,2.0,20661.0
31.0,1.0,1.0,13.0,3.0,2.0,2.0,5.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,22347.0
39.0,0.0,1.0,9.0,2.0,0.0,4.0,2.0,1.0,5.0,3.0,8.0,1.0,1.0,0.0,1.0,2.0,24658.0
40.0,0.0,1.0,13.0,3.0,1.0,3.0,4.0,1.0,3.0,0.0,4.0,1.0,2.0,1.0,0.0,2.0,22347.0
43.0,1.0,1.0,24.0,2.0,0.0,3.0,3.0,1.0,5.0,3.0,5.0,1.0,2.0,0.0,1.0,2.0,25223.0
54.0,1.0,3.0,9.0,3.0,1.0,2.0,3.0,1.0,5.0,1.0,3.0,0.0,4.0,1.0,0.0,2.0,20940.0
32.0,1.0,1.0,12.0,2.0,2.0,2.0,3.0,0.0,3.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,18038.0
38.0,1.0,1.0,13.0,2.0,2.0,3.0,3.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,19771.0
26.0,1.0,1.0,7.0,2.0,1.0,4.0,4.0,1.0,3.0,1.0,2.0,0.0,3.0,1.0,2.0,2.0,23576.0
33.0,1.0,1.0,9.0,3.0,1.0,4.0,4.0,0.0,4.0,1.0,3.0,0.0,4.0,0.0,2.0,1.0,21048.0
38.0,1.0,1.0,6.0,3.0,2.0,2.0,4.0,0.0,3.0,1.0,3.0,0.0,3.0,1.0,0.0,1.0,18690.0
49.0,1.0,3.0,36.0,3.0,1.0,4.0,4.0,3.0,3.0,0.0,5.0,0.0,4.0,0.0,1.0,3.0,31182.0
34.0,0.0,3.0,15.0,2.0,1.0,3.0,5.0,0.0,3.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,21020.0
53.0,1.0,1.0,6.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,0.0,3.0,1.0,2.0,3.0,29123.0
42.0,1.0,1.0,12.0,3.0,2.0,3.0,2.0,0.0,3.0,0.0,4.0,1.0,1.0,1.0,2.0,1.0,20805.0
29.0,0.0,3.0,26.0,1.0,1.0,2.0,3.0,0.0,3.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,17157.0
36.0,1.0,1.0,34.0,3.0,1.0,3.0,5.0,0.0,5.0,2.0,3.0,0.0,4.0,0.0,2.0,1.0,21237.0
39.0,0.0,2.0,17.0,2.0,2.0,4.0,4.0,1.0,3.0,1.0,5.0,0.0,3.0,0.0,3.0,2.0,24755.0
32.0,1.0,3.0,14.0,1.0,1.0,3.0,4.0,1.0,4.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,20228.0
53.0,1.0,1.0,9.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,4.0,1.0,5.0,1.0,0.0,0.0,32584.0
38.0,1.0,1.0,6.0,3.0,2.0,2.0,4.0,0.0,5.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,22347.0
40.0,1.0,3.0,13.0,2.0,1.0,2.0,3.0,1.0,5.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,19639.0
38.0,1.0,1.0,8.0,2.0,1.0,3.0,5.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,25152.0
22.0,1.0,1.0,17.0,3.0,1.0,2.0,3.0,0.0,4.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,17244.0
43.0,1.0,1.0,17.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,22510.0
31.0,1.0,3.0,8.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,5.0,1.0,5.0,1.0,1.0,2.0,21582.0
49.0,1.0,3.0,13.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,4.0,0.0,4.0,0.0,1.0,2.0,19507.0
52.0,0.0,3.0,16.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,6.0,1.0,4.0,1.0,2.0,4.0,38525.0
28.0,0.0,1.0,15.0,2.0,2.0,3.0,6.0,0.0,3.0,0.0,3.0,0.0,2.0,1.0,2.0,1.0,23299.0
35.0,1.0,1.0,31.0,1.0,2.0,3.0,4.0,3.0,4.0,0.0,4.0,0.0,3.0,1.0,1.0,3.0,25903.0
33.0,1.0,1.0,34.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,20207.0
42.0,1.0,3.0,11.0,3.0,1.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,3.0,29125.0
30.0,0.0,1.0,9.0,2.0,2.0,2.0,3.0,0.0,3.0,0.0,5.0,0.0,3.0,0.0,1.0,1.0,17097.0
35.0,1.0,3.0,7.0,1.0,2.0,4.0,5.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,2.0,3.0,25761.0
43.0,1.0,1.0,18.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,29336.0
